,Date,Favorite,UnderDog,PointSpread,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine,Season,home_team,away_team,home_fav,date_match,home_abbr,away_abbr
120,"December 25, 2016 4:30 PM",at Steelers,Ravens,-6.0,46.5,225,-300,2016,Steelers,Ravens,True,2016-12-25,PIT,BAL
121,"December 25, 2016 8:30 PM",at Chiefs,Broncos,-3.5,37.5,160,-185,2016,Chiefs,Broncos,True,2016-12-25,KC,DEN
122,"December 26, 2016 8:30 PM",at Cowboys,Lions,-6.5,46.5,225,-265,2016,Cowboys,Lions,True,2016-12-26,DAL,DET
123,"January 1, 2017 1:00 PM",Ravens,at Bengals,-1.5,40.5,-125,105,2016,Bengals,Ravens,False,2017-01-01,CIN,BAL
124,"January 1, 2017 1:00 PM",Bills,at Jets,-4.5,43.0,-222,180,2016,Jets,Bills,False,2017-01-01,NYJ,BUF
125,"January 1, 2017 1:00 PM",at Buccaneers,Panthers,-3.0,44.5,135,-155,2016,Buccaneers,Panthers,True,2017-01-01,TB,CAR
126,"January 1, 2017 1:00 PM",at Vikings,Bears,-6.5,43.5,210,-260,2016,Vikings,Bears,True,2017-01-01,MIN,CHI
127,"January 1, 2017 1:00 PM",at Steelers,Browns,-3.0,41.5,135,-155,2016,Steelers,Browns,True,2017-01-01,PIT,CLE
128,"January 1, 2017 1:00 PM",at Eagles,Cowboys,-6.5,44.0,230,-270,2016,Eagles,Cowboys,True,2017-01-01,PHI,DAL
129,"January 1, 2017 1:00 PM",at Titans,Texans,-3.0,41.0,140,-160,2016,Titans,Texans,True,2017-01-01,TEN,HOU
130,"January 1, 2017 1:00 PM",at Colts,Jaguars,-5.5,48.5,210,-260,2016,Colts,Jaguars,True,2017-01-01,IND,JAX
131,"January 1, 2017 1:00 PM",Patriots,at Dolphins,-8.0,47.0,-400,300,2016,Dolphins,Patriots,False,2017-01-01,MIA,NE
132,"January 1, 2017 4:25 PM",at Falcons,Saints,-7.5,58.5,275,-350,2016,Falcons,Saints,True,2017-01-01,ATL,NO
133,"January 1, 2017 4:25 PM",at Commanders,Giants,-7.5,47.5,314,-360,2016,Commanders,Giants,True,2017-01-01,WAS,NYG
134,"January 1, 2017 4:25 PM",Seahawks,at 49ers,-11.5,43.5,-600,450,2016,49ers,Seahawks,False,2017-01-01,SF,SEA
135,"January 1, 2017 4:25 PM",Cardinals,at Rams,-7.0,39.0,-320,260,2016,Rams,Cardinals,False,2017-01-01,LAR,ARI
136,"January 1, 2017 4:25 PM",Chiefs,at Chargers,-5.5,44.5,-233,205,2016,Chargers,Chiefs,False,2017-01-01,LAC,KC
137,"January 1, 2017 4:25 PM",at Broncos,Raiders,-1.0,40.0,-105,-115,2016,Broncos,Raiders,True,2017-01-01,DEN,LV
138,"January 1, 2017 8:30 PM",Packers,at Lions,-3.5,50.5,-200,170,2016,Lions,Packers,False,2017-01-01,DET,GB
139,"September 15, 2016 8:25 PM",at Bills,Jets,-1.0,40.5,-105,-115,2016,Bills,Jets,True,2016-09-15,BUF,NYJ
140,"September 18, 2016 1:00 PM",at Panthers,49ers,-12.0,44.5,450,-625,2016,Panthers,49ers,True,2016-09-18,CAR,SF
141,"September 18, 2016 1:00 PM",at Lions,Titans,-6.0,48.0,210,-270,2016,Lions,Titans,True,2016-09-18,DET,TEN
142,"September 18, 2016 1:00 PM",Ravens,at Browns,-4.5,42.0,-222,180,2016,Browns,Ravens,False,2016-09-18,CLE,BAL
143,"September 18, 2016 1:00 PM",at Steelers,Bengals,-3.0,48.5,145,-165,2016,Steelers,Bengals,True,2016-09-18,PIT,CIN
144,"September 18, 2016 1:00 PM",at Commanders,Cowboys,-3.5,47.0,160,-180,2016,Commanders,Cowboys,True,2016-09-18,WAS,DAL
145,"September 18, 2016 1:00 PM",at Texans,Chiefs,-1.0,42.0,-105,-115,2016,Texans,Chiefs,True,2016-09-18,HOU,KC
146,"September 18, 2016 1:00 PM",at Patriots,Dolphins,-5.5,42.5,200,-250,2016,Patriots,Dolphins,True,2016-09-18,NE,MIA
147,"September 18, 2016 1:00 PM",at Giants,Saints,-3.5,54.0,155,-185,2016,Giants,Saints,True,2016-09-18,NYG,NO
148,"September 18, 2016 4:05 PM",at Cardinals,Buccaneers,-7.0,49.5,265,-330,2016,Cardinals,Buccaneers,True,2016-09-18,ARI,TB
149,"September 18, 2016 4:05 PM",Seahawks,at Rams,-5.5,38.0,-250,200,2016,Rams,Seahawks,False,2016-09-18,LAR,SEA
150,"September 18, 2016 4:25 PM",at Raiders,Falcons,-4.0,47.5,170,-200,2016,Raiders,Falcons,True,2016-09-18,LV,ATL
151,"September 18, 2016 4:25 PM",at Broncos,Colts,-6.5,47.0,230,-280,2016,Broncos,Colts,True,2016-09-18,DEN,IND
152,"September 18, 2016 4:25 PM",at Chargers,Jaguars,-3.0,47.5,130,-150,2016,Chargers,Jaguars,True,2016-09-18,LAC,JAX
153,"September 18, 2016 8:30 PM",Packers,at Vikings,-1.5,42.5,-126,106,2016,Vikings,Packers,False,2016-09-18,MIN,GB
154,"September 19, 2016 8:30 PM",at Bears,Eagles,-3.0,43.0,140,-160,2016,Bears,Eagles,True,2016-09-19,CHI,PHI
155,"September 22, 2016 8:25 PM",at Patriots,Texans,-1.0,39.5,-105,-115,2016,Patriots,Texans,True,2016-09-22,NE,HOU
156,"September 25, 2016 1:00 PM",at Dolphins,Browns,-10.0,42.0,333,-450,2016,Dolphins,Browns,True,2016-09-25,MIA,CLE
157,"September 25, 2016 1:00 PM",at Bengals,Broncos,-3.5,41.5,155,-185,2016,Bengals,Broncos,True,2016-09-25,CIN,DEN
158,"September 25, 2016 1:00 PM",at Packers,Lions,-6.0,47.5,213,-275,2016,Packers,Lions,True,2016-09-25,GB,DET
159,"September 25, 2016 1:00 PM",Cardinals,at Bills,-4.5,48.0,-215,185,2016,Bills,Cardinals,False,2016-09-25,BUF,ARI
160,"September 25, 2016 1:00 PM",Ravens,at Jaguars,-2.5,45.0,-135,115,2016,Jaguars,Ravens,False,2016-09-25,JAX,BAL
161,"September 25, 2016 1:00 PM",Raiders,at Titans,-2.0,47.0,-125,105,2016,Titans,Raiders,False,2016-09-25,TEN,LV
162,"September 25, 2016 1:00 PM",at Panthers,Vikings,-6.0,43.0,220,-270,2016,Panthers,Vikings,True,2016-09-25,CAR,MIN
163,"September 25, 2016 1:00 PM",at Giants,Commanders,-3.5,47.0,160,-180,2016,Giants,Commanders,True,2016-09-25,NYG,WAS
164,"September 25, 2016 4:05 PM",at Buccaneers,Rams,-3.5,40.5,159,-179,2016,Buccaneers,Rams,True,2016-09-25,TB,LAR
165,"September 25, 2016 4:05 PM",at Seahawks,49ers,-10.0,42.0,375,-450,2016,Seahawks,49ers,True,2016-09-25,SEA,SF
166,"September 25, 2016 4:25 PM",at Chiefs,Jets,-3.0,44.0,135,-165,2016,Chiefs,Jets,True,2016-09-25,KC,NYJ
167,"September 25, 2016 4:25 PM",Steelers,at Eagles,-4.0,46.5,-200,170,2016,Eagles,Steelers,False,2016-09-25,PHI,PIT
168,"September 25, 2016 4:25 PM",at Colts,Chargers,-1.5,51.0,105,-125,2016,Colts,Chargers,True,2016-09-25,IND,LAC
169,"September 25, 2016 8:30 PM",at Cowboys,Bears,-6.5,45.0,215,-265,2016,Cowboys,Bears,True,2016-09-25,DAL,CHI
170,"September 26, 2016 8:30 PM",at Saints,Falcons,-3.0,54.0,131,-151,2016,Saints,Falcons,True,2016-09-26,NO,ATL
171,"September 29, 2016 8:25 PM",at Bengals,Dolphins,-7.5,46.0,300,-380,2016,Bengals,Dolphins,True,2016-09-29,CIN,MIA
172,"October 2, 2016 9:30 AM",Colts,at Jaguars,-1.5,48.0,-125,100,2016,Jaguars,Colts,False,2016-10-02,JAX,IND
173,"October 2, 2016 1:00 PM",Lions,at Bears,-3.5,48.0,-180,157,2016,Bears,Lions,False,2016-10-02,CHI,DET
174,"October 2, 2016 1:00 PM",at Patriots,Bills,-3.5,41.0,165,-200,2016,Patriots,Bills,True,2016-10-02,NE,BUF
175,"October 2, 2016 1:00 PM",Panthers,at Falcons,-3.0,48.5,-162,135,2016,Falcons,Panthers,False,2016-10-02,ATL,CAR
176,"October 2, 2016 1:00 PM",at Commanders,Browns,-7.5,47.5,275,-350,2016,Commanders,Browns,True,2016-10-02,WAS,CLE
177,"October 2, 2016 1:00 PM",at Ravens,Raiders,-3.5,45.0,160,-175,2016,Ravens,Raiders,True,2016-10-02,BAL,LV
178,"October 2, 2016 1:00 PM",Seahawks,at Jets,-1.0,40.0,-115,-105,2016,Jets,Seahawks,False,2016-10-02,NYJ,SEA
179,"October 2, 2016 1:00 PM",at Texans,Titans,-4.0,40.0,170,-200,2016,Texans,Titans,True,2016-10-02,HOU,TEN
180,"October 2, 2016 4:05 PM",Broncos,at Buccaneers,-3.5,43.0,-180,150,2016,Buccaneers,Broncos,False,2016-10-02,TB,DEN
181,"October 2, 2016 4:25 PM",Cowboys,at 49ers,-1.5,44.5,-125,105,2016,49ers,Cowboys,False,2016-10-02,SF,DAL
182,"October 2, 2016 4:25 PM",at Cardinals,Rams,-9.5,43.5,370,-440,2016,Cardinals,Rams,True,2016-10-02,ARI,LAR
183,"October 2, 2016 4:25 PM",at Chargers,Saints,-3.5,54.0,166,-185,2016,Chargers,Saints,True,2016-10-02,LAC,NO
184,"October 2, 2016 8:30 PM",at Steelers,Chiefs,-3.5,48.5,150,-180,2016,Steelers,Chiefs,True,2016-10-02,PIT,KC
185,"October 3, 2016 8:30 PM",at Vikings,Giants,-3.5,42.5,155,-175,2016,Vikings,Giants,True,2016-10-03,MIN,NYG
186,"October 6, 2016 8:25 PM",Cardinals,at 49ers,-3.5,42.5,-189,170,2016,49ers,Cardinals,False,2016-10-06,SF,ARI
187,"October 9, 2016 1:00 PM",at Colts,Bears,-3.5,47.5,160,-200,2016,Colts,Bears,True,2016-10-09,IND,CHI
